Date,Load,Zone
1/2/2017 4:00:00 PM,2494,Longil
1/2/2017 4:00:00 PM,867,Mhk Vl
1/2/2017 4:00:00 PM,372,Millwd
1/2/2017 4:00:00 PM,6094,N.Y.C.
1/2/2017 4:00:00 PM,596,North
1/2/2017 4:00:00 PM,1738,West
1/2/2017 4:00:00 PM,18475,NYISO
1/2/2017 5:00:00 PM,1590,Capitl
1/2/2017 5:00:00 PM,2053,Centrl
1/2/2017 5:00:00 PM,792,Dunwod
1/2/2017 5:00:00 PM,1243,Genese
1/2/2017 5:00:00 PM,1300,Hud Vl
1/2/2017 5:00:00 PM,2848,Longil
1/2/2017 5:00:00 PM,961,Mhk Vl
1/2/2017 5:00:00 PM,427,Millwd
1/2/2017 5:00:00 PM,6330,N.Y.C.
1/2/2017 5:00:00 PM,623,North
1/2/2017 5:00:00 PM,1887,West
1/2/2017 5:00:00 PM,20054,NYISO
1/2/2017 6:00:00 PM,1586,Capitl
1/2/2017 6:00:00 PM,2056,Centrl
1/2/2017 6:00:00 PM,793,Dunwod
1/2/2017 6:00:00 PM,1234,Genese
1/2/2017 6:00:00 PM,1306,Hud Vl
1/2/2017 6:00:00 PM,2876,Longil
1/2/2017 6:00:00 PM,950,Mhk Vl
1/2/2017 6:00:00 PM,434,Millwd
1/2/2017 6:00:00 PM,6257,N.Y.C.
1/2/2017 6:00:00 PM,619,North
1/2/2017 6:00:00 PM,1904,West
1/2/2017 6:00:00 PM,20015,NYISO
1/2/2017 7:00:00 PM,1555,Capitl
1/2/2017 7:00:00 PM,2013,Centrl
1/2/2017 7:00:00 PM,768,Dunwod
1/2/2017 7:00:00 PM,1204,Genese
1/2/2017 7:00:00 PM,1280,Hud Vl
1/2/2017 7:00:00 PM,2820,Longil
1/2/2017 7:00:00 PM,921,Mhk Vl
1/2/2017 7:00:00 PM,422,Millwd
1/2/2017 7:00:00 PM,6147,N.Y.C.
1/2/2017 7:00:00 PM,613,North
1/2/2017 7:00:00 PM,1883,West
1/2/2017 7:00:00 PM,19626,NYISO
1/2/2017 8:00:00 PM,1505,Capitl
1/2/2017 8:00:00 PM,1950,Centrl
1/2/2017 8:00:00 PM,744,Dunwod
1/2/2017 8:00:00 PM,1157,Genese
1/2/2017 8:00:00 PM,1238,Hud Vl
1/2/2017 8:00:00 PM,2734,Longil
1/2/2017 8:00:00 PM,886,Mhk Vl
1/2/2017 8:00:00 PM,406,Millwd
1/2/2017 8:00:00 PM,5984,N.Y.C.
1/2/2017 8:00:00 PM,601,North
1/2/2017 8:00:00 PM,1850,West
1/2/2017 8:00:00 PM,19055,NYISO
1/2/2017 9:00:00 PM,1434,Capitl
1/2/2017 9:00:00 PM,1828,Centrl
1/2/2017 9:00:00 PM,706,Dunwod
1/2/2017 9:00:00 PM,1089,Genese
1/2/2017 9:00:00 PM,1173,Hud Vl
1/2/2017 9:00:00 PM,2591,Longil
1/2/2017 9:00:00 PM,826,Mhk Vl
1/2/2017 9:00:00 PM,376,Millwd
1/2/2017 9:00:00 PM,5804,N.Y.C.
1/2/2017 9:00:00 PM,580,North
1/2/2017 9:00:00 PM,1780,West
1/2/2017 9:00:00 PM,18187,NYISO
1/2/2017 10:00:00 PM,1350,Capitl
1/2/2017 10:00:00 PM,1697,Centrl
1/2/2017 10:00:00 PM,658,Dunwod
1/2/2017 10:00:00 PM,1011,Genese
1/2/2017 10:00:00 PM,1087,Hud Vl
1/2/2017 10:00:00 PM,2384,Longil
1/2/2017 10:00:00 PM,761,Mhk Vl
1/2/2017 10:00:00 PM,334,Millwd
1/2/2017 10:00:00 PM,5512,N.Y.C.
